index,Order ID,Cust ID,Gender,Age,Date,Status,Channel ,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
1,171-1029312-3038738,1029312,Women,44,12/4/2022,Delivered,Myntra,JNE1233-BLUE-KR-031-XXL,kurta,XXL,1,INR,376,MOHALI,PUNJAB,140301,IN,FALSE
2,405-2183842-2225946,2183842,Women,29,12/4/2022,Delivered,Ajio,SET414-KR-NP-L,Set,L,1,INR,1449,GURUGRAM,HARYANA,122002,IN,FALSE
3,171-1641533-8921966,1641533,Women,67,12/4/2022,Delivered,Myntra,SET261-KR-PP-S,Set,S,1,INR,453,KOLKATA,WEST BENGAL,700029,IN,FALSE
4,404-7490807-6300351,7490807,Women,20,12/4/2022,Delivered,Amazon,SET110-KR-PP-M,Set,M,1,INR,729,THANJAVUR,TAMIL NADU,613007,IN,FALSE
5,403-9293516-4577154,9293516,Women,62,12/4/2022,Delivered,Myntra,JNE2294-KR-A-XXL,kurta,XXL,1,INR,544,GURUGRAM,HARYANA,122001,IN,FALSE
6,407-1298130-0368305,1298130,Men,49,12/4/2022,Delivered,Flipkart,JNE3797-KR-XXL,Western Dress,XXL,One,INR,735,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416436,IN,FALSE
7,407-1298130-0368305,1298130,W,23,12/4/2022,Delivered,Meesho,JNE3801-KR-XXL,kurta,XXL,One,INR,735,BENGALURU,KARNATAKA,560029,IN,FALSE
8,171-5561216-3398711,5561216,W,70,12/4/2022,Delivered,Others,JNE3405-KR-M,kurta,M,One,INR,435,GURUGRAM,HARYANA,122001,IN,FALSE
9,408-2935263-2935550,2935263,W,75,12/4/2022,Delivered,Amazon,JNE3474-KR-E-XL,kurta,XL,One,INR,385,BENGALURU,KARNATAKA,562149,IN,FALSE
10,404-2648970-9042715,2648970,W,43,12/4/2022,Delivered,Myntra,JNE3466-KR-L,kurta,L,One,INR,771,VIJAYAWADA,ANDHRA PRADESH,520002,IN,FALSE
11,404-2648970-9042715,2648970,W,76,12/4/2022,Delivered,Amazon,JNE3795-KR-S,kurta,S,One,INR,517,THIRUVANANTHAPURAM,KERALA,695018,IN,FALSE
12,404-2648970-9042715,2648970,Women,45,12/4/2022,Delivered,Myntra,J0181-TP-M,Top,M,1,INR,399,ARAKONAM,TAMIL NADU,631003,IN,FALSE
13,408-0265357-4939534,265357,Women,18,12/4/2022,Delivered,Amazon,SET217-KR-PP-XL,Set,XL,1,INR,786,GUWAHATI,ASSAM,781017,IN,FALSE
14,403-9268874-7296313,9268874,Men,44,12/4/2022,Delivered,Myntra,SET185-KR-NP-M,Set,M,1,INR,911,BENGALURU,KARNATAKA,562125,IN,FALSE
15,407-0442660-2736366,442660,Women,52,12/4/2022,Delivered,Amazon,SET333-KR-DPT-M,Set,M,1,INR,967,HYDERABAD,TELANGANA,500098,IN,FALSE
16,406-7482261-1657136,7482261,Women,18,12/4/2022,Delivered,Nalli,J0124-TP-L,Top,L,1,INR,523,NEW DELHI,DELHI,110062,IN,FALSE
17,407-7039962-7080347,7039962,Men,30,12/4/2022,Delivered,Meesho,SET304-KR-DPT-XL,Set,XL,1,INR,1115,Bhubaneswar,ODISHA,751022,IN,FALSE
18,407-3422488-7373923,3422488,Women,48,12/4/2022,Delivered,Others,SET184-KR-PP-XS,Set,XS,1,INR,563,SIROHI,RAJASTHAN,307001,IN,FALSE
19,171-8974687-6745940,8974687,Men,24,12/4/2022,Delivered,Myntra,J0161-DR-XXL,Western Dress,XXL,1,INR,473,MUMBAI,MAHARASHTRA,400097,IN,FALSE
20,406-0244536-2177175,244536,Women,46,12/4/2022,Delivered,Amazon,SET233-KR-PP-M,Set,M,1,INR,545,AMRITSAR,PUNJAB,143001,IN,FALSE
21,404-4376789-3345166,4376789,Women,43,12/4/2022,Delivered,Nalli,J0231-SKD-XXXL,Set,3XL,1,INR,1164,LUCKNOW,UTTAR PRADESH,226024,IN,FALSE
22,408-1943310-9789160,1943310,Men,31,12/4/2022,Refunded,Myntra,J0339-DR-XXL,Western Dress,XXL,1,INR,743,NEW DELHI,DELHI,110087,IN,FALSE
23,403-0950590-5005155,950590,Men,30,12/4/2022,Delivered,Myntra,SET210-KR-PP-XXXL,Set,3XL,1,INR,575,MADURAI,TAMIL NADU,625014,IN,FALSE
24,406-3935670-5720350,3935670,Women,19,12/4/2022,Delivered,Ajio,SET110-KR-PP-XS,Set,XS,1,INR,788,Meerut,UTTAR PRADESH,250002,IN,FALSE
